run_id,timestamp,product_id,name,brand,category,gender,mrp,price,discount_pct,rating,rating_count,daily_units_est,monthly_units_est,net_daily_units_est,net_monthly_units_est,confidence,est_method,signal_breakdown,inv_depletion_daily,rating_vel_daily,rank_score_daily,urgency_daily,keyword,position,is_ad
20260321_161308,2026-03-21T16:13:08,39272406,Marks & Spencer Pure Cotton V-Neck T-Shirt,Marks & Spencer,Tshirts,Women,799.0,559.0,30.0,4.2835822105407715,67,200.0,6000.0,140.0,4200.0,low,rank_only,"{""rank_score"": 200.0}",0.0,0.0,200.0,0.0,tshirts,1,False
20260321_161308,2026-03-21T16:13:08,12027436,Levis Men Soft Pure Cotton Round Neck Half Sleeve Tshirt,Levis,Lounge Tshirts,Men,649.0,584.0,10.0,4.37544059753418,19870,177.4,5322.0,124.2,3726.0,low,rank_only,"{""rank_score"": 177.4}",0.0,0.0,177.4,0.0,tshirts,2,False
20260321_161308,2026-03-21T16:13:08,35508616,KEESOR Girls Pack Of 3 Cotton Tshirts,KEESOR,Tshirts,Girls,699.0,314.0,55.1,4.267148017883301,554,157.3,4719.0,110.1,3303.0,low,rank_only,"{""rank_score"": 157.3}",0.0,0.0,157.3,0.0,tshirts,3,False
20260321_161308,2026-03-21T16:13:08,40733470,dostitch Boys Polyester Tshirts,dostitch,Tshirts,Boys,999.0,499.0,50.1,0.0,0,139.5,4185.0,97.6,2928.0,low,rank_only,"{""rank_score"": 139.5}",0.0,0.0,139.5,0.0,tshirts,4,False
20260321_161308,2026-03-21T16:13:08,29961765,DILLINGER Graphic Printed Relaxed Fit Pure Cotton T-shirt,DILLINGER,Tshirts,Women,1399.0,489.0,65.0,4.568906784057617,8780,123.8,3714.0,86.7,2601.0,low,rank_only,"{""rank_score"": 123.8}",0.0,0.0,123.8,0.0,tshirts,5,False
20260321_161308,2026-03-21T16:13:08,39450078,H&M Girls Motif-Detail T-Shirt,H&M,Tshirts,Girls,699.0,629.0,10.0,4.75,40,109.8,3294.0,76.9,2307.0,low,rank_only,"{""rank_score"": 109.8}",0.0,0.0,109.8,0.0,tshirts,6,False
20260321_161308,2026-03-21T16:13:08,37746974,U.S. Polo Assn. Men Pure Cotton Lounge T-Shirt,U.S. Polo Assn.,Lounge Tshirts,Men,699.0,699.0,0.0,4.239436626434326,71,97.4,2922.0,68.2,2046.0,low,rank_only,"{""rank_score"": 97.4}",0.0,0.0,97.4,0.0,tshirts,7,False
20260321_161308,2026-03-21T16:13:08,31354071,Van Heusen Women Cotton Relax Fit Lounge T-Shirt,Van Heusen,Lounge Tshirts,Women,499.0,499.0,0.0,4.275418281555176,777,86.3,2589.0,60.4,1812.0,low,rank_only,"{""rank_score"": 86.3}",0.0,0.0,86.3,0.0,tshirts,8,False
20260321_161308,2026-03-21T16:13:08,32573503,CORSICA Women Bio Finish Striped Round Neck Cotton Relaxed Fit T-shirt,CORSICA,Tshirts,Women,999.0,297.0,70.3,4.28781795501709,7470,76.6,2298.0,53.6,1608.0,low,rank_only,"{""rank_score"": 76.6}",0.0,0.0,76.6,0.0,tshirts,9,False
20260321_161308,2026-03-21T16:13:08,33353185,Pepe Jeans Men Crew Neck Relaxed Fit Lounge Tshirt,Pepe Jeans,Lounge Tshirts,Men,799.0,487.0,39.0,4.474612712860107,2324,67.9,2037.0,47.5,1425.0,low,rank_only,"{""rank_score"": 67.9}",0.0,0.0,67.9,0.0,tshirts,10,False
20260321_161308,2026-03-21T16:13:08,40320334,Pantaloons Junior Boys Printed Polo Collared Short Sleeves T-shirt,Pantaloons Junior,Tshirts,Boys,399.0,399.0,0.0,4.493333339691162,75,60.2,1806.0,42.1,1263.0,low,rank_only,"{""rank_score"": 60.2}",0.0,0.0,60.2,0.0,tshirts,11,False
20260321_161308,2026-03-21T16:13:08,22204272,HELLCAT Boys Pack Of 3 Printed Cotton T-shirt,HELLCAT,Tshirts,Boys,3897.0,349.0,91.0,4.125712871551514,9291,53.4,1602.0,37.4,1122.0,low,rank_only,"{""rank_score"": 53.4}",0.0,0.0,53.4,0.0,tshirts,12,False
20260321_161308,2026-03-21T16:13:08,30462329,U.S. Polo Assn. Kids Sequinned Brand Logo Pure Cotton T-shirt,U.S. Polo Assn. Kids,Tshirts,Girls,899.0,369.0,59.0,4.586206912994385,29,47.4,1422.0,33.2,996.0,low,rank_only,"{""rank_score"": 47.4}",0.0,0.0,47.4,0.0,tshirts,13,False
20260321_161308,2026-03-21T16:13:08,39272407,Marks & Spencer Pure Cotton V-Neck T-Shirt,Marks & Spencer,Tshirts,Women,799.0,719.0,10.0,4.230769157409668,65,42.0,1260.0,29.4,882.0,low,rank_only,"{""rank_score"": 42.0}",0.0,0.0,42.0,0.0,tshirts,14,False
20260321_161308,2026-03-21T16:13:08,29459048,DILLINGER Women Graphic Printed Embossed Oversized T-shirt,DILLINGER,Tshirts,Women,1399.0,489.0,65.0,4.5398125648498535,8653,37.3,1119.0,26.1,783.0,low,rank_only,"{""rank_score"": 37.3}",0.0,0.0,37.3,0.0,tshirts,15,False
20260321_161308,2026-03-21T16:13:08,39331404,H&M Fitted Cotton T-Shirt,H&M,Tshirts,Women,699.0,699.0,0.0,4.235635757446289,1723,33.1,993.0,23.2,696.0,low,rank_only,"{""rank_score"": 33.1}",0.0,0.0,33.1,0.0,tshirts,16,False
20260321_161308,2026-03-21T16:13:08,37624126,Dreamz by Pantaloons Women Striped Pure Cotton Lounge Tshirts,Dreamz by Pantaloons,Lounge Tshirts,Women,599.0,599.0,0.0,4.628571510314941,35,29.3,879.0,20.5,615.0,low,rank_only,"{""rank_score"": 29.3}",0.0,0.0,29.3,0.0,tshirts,17,False
20260321_161308,2026-03-21T16:13:08,35451383,DressBerry Graphic Printed Round Neck Oversized Cotton T-shirt,DressBerry,Tshirts,Women,999.0,289.0,71.1,4.28698205947876,1690,26.0,780.0,18.2,546.0,low,rank_only,"{""rank_score"": 26.0}",0.0,0.0,26.0,0.0,tshirts,18,False
20260321_161308,2026-03-21T16:13:08,35053929,DAMN GUD DG Unisex Black Tshirts,DAMN GUD DG,Tshirts,Unisex Kids,1000.0,499.0,50.1,3.9932432174682617,296,23.1,693.0,16.2,486.0,low,rank_only,"{""rank_score"": 23.1}",0.0,0.0,23.1,0.0,tshirts,19,False
20260321_161308,2026-03-21T16:13:08,14846686,Jockey Super Combed Cotton Rib Fabric Slim Fit Solid Racerback Styled Tank Top -1467,Jockey,Lounge Tshirts,Women,329.0,329.0,0.0,4.467394828796387,2929,20.5,615.0,14.3,429.0,low,rank_only,"{""rank_score"": 20.5}",0.0,0.0,20.5,0.0,tshirts,20,False
20260321_161308,2026-03-21T16:13:08,12027432,Levis Men Soft Pure Cotton Round Neck Half Sleeve Tshirt,Levis,Lounge Tshirts,Men,649.0,558.0,14.0,4.37515115737915,19872,18.1,543.0,12.7,381.0,low,rank_only,"{""rank_score"": 18.1}",0.0,0.0,18.1,0.0,tshirts,21,False
20260321_161308,2026-03-21T16:13:08,31354058,Van Heusen Women Cotton Relax Fit Lounge T Shirt,Van Heusen,Lounge Tshirts,Women,499.0,499.0,0.0,4.293103218078613,754,16.1,483.0,11.3,339.0,low,rank_only,"{""rank_score"": 16.1}",0.0,0.0,16.1,0.0,tshirts,22,False
20260321_161308,2026-03-21T16:13:08,27873896,DILLINGER Graphic Printed Oversized Pure Cotton T-shirt,DILLINGER,Tshirts,Women,1399.0,489.0,65.0,4.538427352905273,6792,14.3,429.0,10.0,300.0,low,rank_only,"{""rank_score"": 14.3}",0.0,0.0,14.3,0.0,tshirts,23,False
20260321_161308,2026-03-21T16:13:08,25940116,HIGHLANDER Unisex Floral Printed Slim Fit T-shirt,HIGHLANDER,Tshirts,Unisex,1249.0,149.0,88.1,3.7317073345184326,41,12.7,381.0,8.9,267.0,low,rank_only,"{""rank_score"": 12.7}",0.0,0.0,12.7,0.0,tshirts,24,False
20260321_161308,2026-03-21T16:13:08,33281220,Rigo Unisex Typography Printed Round Neck Cotton Oversized T-shirt,Rigo,Tshirts,Unisex,1599.0,448.0,72.0,4.055727481842041,323,11.2,336.0,7.8,234.0,low,rank_only,"{""rank_score"": 11.2}",0.0,0.0,11.2,0.0,tshirts,25,False
20260321_161308,2026-03-21T16:13:08,36964778,H&M Woman Fitted cotton T-shirt,H&M,Tshirts,Women,699.0,559.0,20.0,4.236248016357422,1727,10.0,300.0,7.0,210.0,low,rank_only,"{""rank_score"": 10.0}",0.0,0.0,10.0,0.0,tshirts,26,False
20260321_161308,2026-03-21T16:13:08,32762106,Pepe Jeans Men Crew Neck Relaxed Fit Lounge Tshirt,Pepe Jeans,Lounge Tshirts,Men,799.0,487.0,39.0,4.473321914672852,2324,8.8,264.0,6.2,186.0,low,rank_only,"{""rank_score"": 8.8}",0.0,0.0,8.8,0.0,tshirts,27,False
20260321_161308,2026-03-21T16:13:08,21831398,HRX by Hrithik Roshan Rapid-Dry Sports Training T-shirt,HRX by Hrithik Roshan,Tshirts,Women,799.0,327.0,59.1,4.389001846313477,4419,7.8,234.0,5.5,165.0,low,rank_only,"{""rank_score"": 7.8}",0.0,0.0,7.8,0.0,tshirts,28,False
20260321_161308,2026-03-21T16:13:08,35057131,DILLINGER Women's Acid Washed Oversized Puff Printed Tshirt,DILLINGER,Tshirts,Women,1399.0,643.0,54.0,4.3693695068359375,444,6.9,207.0,4.8,144.0,low,rank_only,"{""rank_score"": 6.9}",0.0,0.0,6.9,0.0,tshirts,29,False
20260321_161308,2026-03-21T16:13:08,37776401,H&M Layered-Look T-Shirt,H&M,Tshirts,Women,499.0,369.0,26.1,4.210596084594727,755,6.2,186.0,4.3,129.0,low,rank_only,"{""rank_score"": 6.2}",0.0,0.0,6.2,0.0,tshirts,30,False
20260321_161308,2026-03-21T16:13:08,40656256,CULT Round Neck T-shirt,CULT,Tshirts,Women,999.0,499.0,50.1,4.75,8,5.5,165.0,3.8,114.0,low,rank_only,"{""rank_score"": 5.5}",0.0,0.0,5.5,0.0,tshirts,31,False
20260321_161308,2026-03-21T16:13:08,24110436,The Roadster Life Co. Striped Slim Fit Round Neck T-shirt,Roadster,Tshirts,Women,1099.0,296.0,73.1,4.236321449279785,859,4.8,144.0,3.4,102.0,low,rank_only,"{""rank_score"": 4.8}",0.0,0.0,4.8,0.0,tshirts,32,False
20260321_161308,2026-03-21T16:13:08,36573316,FIONAA TRENDZ Kids Black Tom & Jerry Printed Pure Cotton T-shirt,FIONAA TRENDZ,Tshirts,Unisex Kids,699.0,348.0,50.2,4.455445766448975,202,4.3,129.0,3.0,90.0,low,rank_only,"{""rank_score"": 4.3}",0.0,0.0,4.3,0.0,tshirts,33,False
20260321_161308,2026-03-21T16:13:08,13980360,Nap Chief Kids Unisex Reversible Black Harry Potter Sequinned Round Neck Cotton T-shirt,Nap Chief,Tshirts,Unisex Kids,990.0,520.0,47.5,4.6053056716918945,1847,3.8,114.0,2.7,81.0,low,rank_only,"{""rank_score"": 3.8}",0.0,0.0,3.8,0.0,tshirts,34,False
20260321_161308,2026-03-21T16:13:08,39010355,H&M Cotton T-Shirt,H&M,Tshirts,Women,699.0,699.0,0.0,4.647398948669434,173,3.4,102.0,2.4,72.0,low,rank_only,"{""rank_score"": 3.4}",0.0,0.0,3.4,0.0,tshirts,35,False
20260321_161308,2026-03-21T16:13:08,35469309,KEESOR Girls Printed Cotton Tshirt,KEESOR,Tshirts,Girls,499.0,164.0,67.1,4.529972553253174,734,3.0,90.0,2.1,63.0,low,rank_only,"{""rank_score"": 3.0}",0.0,0.0,3.0,0.0,tshirts,36,False
20260321_161308,2026-03-21T16:13:08,13124922,Van Heusen Women Antibacterial Round Neck T-Shirt,Van Heusen,Lounge Tshirts,Women,919.0,753.0,18.1,4.488636493682861,176,2.7,81.0,1.9,57.0,low,rank_only,"{""rank_score"": 2.7}",0.0,0.0,2.7,0.0,tshirts,37,False
20260321_161308,2026-03-21T16:13:08,33178895,IN Love Women Printed Plus Size Cotton Longline Lounge Tshirts,IN Love,Lounge Tshirts,Women,1499.0,779.0,48.0,4.473684310913086,95,2.4,72.0,1.7,51.0,low,rank_only,"{""rank_score"": 2.4}",0.0,0.0,2.4,0.0,tshirts,38,False
20260321_161308,2026-03-21T16:13:08,32634483,CORSICA Women Bio Finish Graphic Printed Round Neck Cotton Oversized T-shirt,CORSICA,Tshirts,Women,1499.0,297.0,80.2,4.200943470001221,1060,2.1,63.0,1.5,45.0,low,rank_only,"{""rank_score"": 2.1}",0.0,0.0,2.1,0.0,tshirts,39,False
20260321_161308,2026-03-21T16:13:08,25992760,Fabflee Women Graphic Printed Drop-Shoulder Sleeves Cotton Oversized T-Shirt,Fabflee,Tshirts,Women,1599.0,299.0,81.3,4.290910720825195,12069,1.9,57.0,1.3,39.0,low,rank_only,"{""rank_score"": 1.9}",0.0,0.0,1.9,0.0,tshirts,40,False
20260321_161308,2026-03-21T16:13:08,26852160,HIGHLANDER Floral Printed Slim Fit T-shirt,HIGHLANDER,Tshirts,Unisex,1249.0,249.0,80.1,3.799999952316284,40,1.6,48.0,1.1,33.0,low,rank_only,"{""rank_score"": 1.6}",0.0,0.0,1.6,0.0,tshirts,41,False
20260321_161308,2026-03-21T16:13:08,39916460,H&M Motif-Detail T-shirt,H&M,Tshirts,Girls,699.0,699.0,0.0,0.0,0,1.5,45.0,1.0,30.0,low,rank_only,"{""rank_score"": 1.5}",0.0,0.0,1.5,0.0,tshirts,42,False
20260321_161308,2026-03-21T16:13:08,36743810,Dreamz by Pantaloons Women Pure Cotton Printed Lounge Tshirts,Dreamz by Pantaloons,Lounge Tshirts,Women,399.0,399.0,0.0,4.714285850524902,28,1.3,39.0,0.9,27.0,low,rank_only,"{""rank_score"": 1.3}",0.0,0.0,1.3,0.0,tshirts,43,False
20260321_161308,2026-03-21T16:13:08,39272402,Marks & Spencer Pure Cotton V-Neck T-Shirt,Marks & Spencer,Tshirts,Women,799.0,719.0,10.0,4.2727274894714355,66,1.1,33.0,0.8,24.0,low,rank_only,"{""rank_score"": 1.1}",0.0,0.0,1.1,0.0,tshirts,44,False
20260321_161308,2026-03-21T16:13:08,30817782,DILLINGER Printed Oversized Pure Cotton T-shirt,DILLINGER,Tshirts,Women,1399.0,489.0,65.0,4.498059272766113,1546,1.0,30.0,0.7,21.0,low,rank_only,"{""rank_score"": 1.0}",0.0,0.0,1.0,0.0,tshirts,45,False
20260321_161308,2026-03-21T16:13:08,40053123,H&M Printed Cotton T-Shirt,H&M,Tshirts,Boys,399.0,359.0,10.0,4.530303001403809,132,0.9,27.0,0.6,18.0,low,rank_only,"{""rank_score"": 0.9}",0.0,0.0,0.9,0.0,tshirts,46,False
20260321_161308,2026-03-21T16:13:08,35038126,Van Heusen Women Cotton Solid Relax Fit Lounge T Shirt,Van Heusen,Lounge Tshirts,Women,499.0,499.0,0.0,4.295487403869629,687,0.8,24.0,0.6,18.0,low,rank_only,"{""rank_score"": 0.8}",0.0,0.0,0.8,0.0,tshirts,47,False
20260321_161308,2026-03-21T16:13:08,38635231,H&M Cotton T-shirt,H&M,Tshirts,Women,499.0,499.0,0.0,4.606451511383057,155,0.7,21.0,0.5,15.0,low,rank_only,"{""rank_score"": 0.7}",0.0,0.0,0.7,0.0,tshirts,48,False
20260321_161308,2026-03-21T16:13:08,35148182,DAMN GUD DG Black Cotton Tshirts,DAMN GUD DG,Tshirts,Unisex Kids,1000.0,499.0,50.1,4.151324272155762,793,0.6,18.0,0.4,12.0,low,rank_only,"{""rank_score"": 0.6}",0.0,0.0,0.6,0.0,tshirts,49,False
20260321_161308,2026-03-21T16:13:08,39664169,H&M Motif-Detail T-Shirt,H&M,Tshirts,Girls,699.0,629.0,10.0,4.625,16,0.6,18.0,0.4,12.0,low,rank_only,"{""rank_score"": 0.6}",0.0,0.0,0.6,0.0,tshirts,50,False
